1	-1.0978 -0.933716 -0.566188 -0.386102 -0.83058 -0.717558 -0.784304 -0.413887 -1.14526 -0.380226
2	-1.10137 -0.937564 -0.55677 -0.386102 -0.83058 -0.705469 -0.786575 -0.413887 -1.14172 -0.380226
3	-1.0978 -0.933716 -0.551119 -0.392981 -0.828054 -0.711514 -0.788845 -0.418598 -1.14526 -0.373142
4	-1.0978 -0.933716 -0.549236 -0.392981 -0.833106 -0.719572 -0.791116 -0.418598 -1.14526 -0.373142
5	-1.09422 -0.92602 -0.547352 -0.386102 -0.83058 -0.717558 -0.793387 -0.423309 -1.14879 -0.366059
6	-1.09422 -0.92602 -0.547352 -0.386102 -0.833106 -0.727631 -0.793387 -0.42802 -1.14879 -0.366059
7	-1.0978 -0.929868 -0.551119 -0.392981 -0.833106 -0.729646 -0.795657 -0.432731 -1.14526 -0.358975
8	-1.0978 -0.92602 -0.554887 -0.399861 -0.835633 -0.723602 -0.795657 -0.437442 -1.14526 -0.351891
9	-1.09422 -0.922172 -0.560537 -0.399861 -0.833106 -0.729646 -0.797928 -0.442153 -1.14172 -0.351891
10	-1.09422 -0.922172 -0.568072 -0.392981 -0.83058 -0.731661 -0.797928 -0.442153 -1.14526 -0.344808
11	-1.09065 -0.918324 -0.575606 -0.392981 -0.83058 -0.717558 -0.809282 -0.437442 -1.14526 -0.337724
12	-1.09422 -0.918324 -0.585025 -0.386102 -0.833106 -0.715543 -0.852425 -0.442153 -1.14172 -0.330641
13	-1.09422 -0.914476 -0.594443 -0.386102 -0.833106 -0.715543 -0.891026 -0.442153 -1.14172 -0.316474
14	-1.09065 -0.914476 -0.607628 -0.379222 -0.83058 -0.703455 -0.913733 -0.437442 -1.14526 -0.30939
15	-1.08708 -0.910628 -0.61893 -0.372343 -0.83058 -0.699425 -0.927357 -0.437442 -1.14526 -0.302306
16	-1.0835 -0.910628 -0.630231 -0.372343 -0.833106 -0.703455 -0.931899 -0.432731 -1.14172 -0.295223
17	-1.0835 -0.90678 -0.643417 -0.365463 -0.833106 -0.705469 -0.931899 -0.432731 -1.14526 -0.281056
18	-1.07993 -0.90678 -0.654718 -0.365463 -0.83058 -0.70144 -0.929628 -0.42802 -1.14526 -0.273972
19	-1.0835 -0.899084 -0.662253 -0.358583 -0.83058 -0.693381 -0.922816 -0.42802 -1.14172 -0.266888
20	-1.07993 -0.899084 -0.671671 -0.351704 -0.833106 -0.693381 -0.911463 -0.423309 -1.14172 -0.252721
21	-1.07993 -0.895236 -0.675438 -0.344824 -0.833106 -0.703455 -0.897838 -0.413887 -1.13818 -0.238554
22	-1.0835 -0.891388 -0.677322 -0.337945 -0.835633 -0.709499 -0.881944 -0.404465 -1.13818 -0.224387
23	-1.07278 -0.891388 -0.677322 -0.331065 -0.835633 -0.705469 -0.868319 -0.399754 -1.14172 -0.217303
24	-1.06206 -0.883692 -0.675438 -0.331065 -0.833106 -0.70144 -0.856966 -0.390331 -1.14526 -0.203136
25	-1.06563 -0.883692 -0.669787 -0.324186 -0.83058 -0.695396 -0.847883 -0.390331 -1.14172 -0.181885
26	-1.07635 -0.879844 -0.664137 -0.324186 -0.833106 -0.699425 -0.838801 -0.38562 -1.14172 -0.160634
27	-1.08708 -0.875996 -0.660369 -0.317306 -0.833106 -0.713528 -0.831988 -0.38562 -1.14526 -0.146467
28	-1.09422 -0.875996 -0.656602 -0.303547 -0.835633 -0.719572 -0.825176 -0.390331 -1.14526 -0.125216
29	-1.09422 -0.872148 -0.652835 -0.303547 -0.83058 -0.713528 -0.820635 -0.395042 -1.14172 -0.103966
30	-1.09065 -0.872148 -0.650951 -0.296668 -0.83058 -0.709499 -0.816094 -0.399754 -1.14526 -0.0827149
31	-1.09065 -0.8683 -0.650951 -0.296668 -0.833106 -0.70144 -0.811552 -0.399754 -1.14526 -0.0614641
32	-1.08708 -0.864452 -0.652835 -0.289788 -0.833106 -0.703455 -0.807011 -0.395042 -1.14172 -0.0402133
33	-1.08708 -0.856756 -0.654718 -0.282909 -0.835633 -0.717558 -0.80474 -0.38562 -1.14172 -0.0189625
34	-1.0835 -0.856756 -0.656602 -0.276029 -0.833106 -0.727631 -0.800199 -0.376198 -1.13818 0.00228828
35	-1.0835 -0.84906 -0.660369 -0.276029 -0.833106 -0.725617 -0.797928 -0.366776 -1.13818 0.0164555
36	-1.07993 -0.845212 -0.662253 -0.26915 -0.835633 -0.721587 -0.793387 -0.362065 -1.13465 0.0306227
37	-1.07993 -0.82982 -0.664137 -0.26227 -0.833106 -0.725617 -0.791116 -0.362065 -1.13465 0.0447899
38	-1.07635 -0.760555 -0.66602 -0.255391 -0.833106 -0.733676 -0.788845 -0.366776 -1.13818 0.0518735
39	-1.07635 -0.733619 -0.669787 -0.255391 -0.83058 -0.733676 -0.784304 -0.371487 -1.14172 0.058957
40	-1.07278 -0.725923 -0.671671 -0.248511 -0.833106 -0.727631 -0.782033 -0.371487 -1.13818 0.0731242
41	-1.07635 -0.718227 -0.673555 -0.234752 -0.833106 -0.731661 -0.779763 -0.376198 -1.13818 0.0660406
42	-1.07635 -0.710531 -0.677322 -0.220993 -0.83058 -0.737705 -0.775221 -0.371487 -1.13465 0.0731242
43	-1.07278 -0.702835 -0.677322 -0.214114 -0.833106 -0.745764 -0.775221 -0.371487 -1.13465 0.0802078
44	-1.07278 -0.695139 -0.679205 -0.207234 -0.83058 -0.747779 -0.777492 -0.366776 -1.13111 0.094375
45	-1.06921 -0.687443 -0.679205 -0.207234 -0.83058 -0.73972 -0.779763 -0.366776 -1.13111 0.094375
46	-1.06921 -0.683595 -0.682973 -0.200355 -0.833106 -0.733676 -0.784304 -0.362065 -1.12757 0.101459
47	-1.06563 -0.675899 -0.682973 -0.200355 -0.83058 -0.737705 -0.788845 -0.357354 -1.12757 0.108542
48	-1.06563 -0.668203 -0.684856 -0.186596 -0.833106 -0.745764 -0.793387 -0.33851 -1.12404 0.115626
49	-1.06206 -0.664355 -0.684856 -0.172836 -0.83058 -0.743749 -0.795657 -0.329088 -1.12404 0.115626
50	-1.05848 -0.656659 -0.682973 -0.165957 -0.833106 -0.733676 -0.797928 -0.329088 -1.1205 0.129793
51	-1.05491 -0.648963 -0.682973 -0.159077 -0.833106 -0.733676 -0.800199 -0.333799 -1.11696 0.136877
52	-1.05491 -0.641267 -0.681089 -0.152198 -0.835633 -0.741735 -0.80247 -0.33851 -1.11696 0.14396
53	-1.05848 -0.637419 -0.681089 -0.145318 -0.835633 -0.749793 -0.80247 -0.333799 -1.1205 0.14396
54	-1.06921 -0.625875 -0.679205 -0.138439 -0.833106 -0.751808 -0.80474 -0.314955 -1.11696 0.158127
55	-1.07278 -0.622027 -0.679205 -0.131559 -0.835633 -0.745764 -0.80247 -0.300822 -1.11696 0.165211
56	-1.07278 -0.614331 -0.677322 -0.1178 -0.835633 -0.73972 -0.80247 -0.29611 -1.11343 0.158127
57	-1.06921 -0.606635 -0.677322 -0.104041 -0.838159 -0.741735 -0.800199 -0.29611 -1.11343 0.165211
58	-1.06921 -0.595091 -0.675438 -0.0902823 -0.838159 -0.749793 -0.797928 -0.300822 -1.10989 0.165211
59	-1.06563 -0.591243 -0.673555 -0.0834027 -0.835633 -0.759867 -0.793387 -0.300822 -1.10989 0.172295
60	-1.06563 -0.583547 -0.671671 -0.0765232 -0.838159 -0.767926 -0.788845 -0.305533 -1.10635 0.179378
61	-1.06206 -0.579698 -0.669787 -0.0696437 -0.838159 -0.767926 -0.786575 -0.300822 -1.10635 0.179378
62	-1.06563 -0.572002 -0.66602 -0.0627642 -0.835633 -0.759867 -0.784304 -0.291399 -1.10282 0.186462
63	-1.06563 -0.564306 -0.664137 -0.0558847 -0.835633 -0.749793 -0.779763 -0.277266 -1.10282 0.186462
64	-1.06921 -0.564306 -0.662253 -0.0490052 -0.833106 -0.741735 -0.777492 -0.272555 -1.10635 0.193545
65	-1.06921 -0.572002 -0.660369 -0.0352461 -0.835633 -0.737705 -0.775221 -0.272555 -1.10635 0.193545
66	-1.07635 -0.583547 -0.660369 -0.0283666 -0.835633 -0.741735 -0.772951 -0.267844 -1.10989 0.200629
67	-1.08708 -0.591243 -0.658486 -0.0283666 -0.838159 -0.747779 -0.772951 -0.263133 -1.11343 0.200629
68	-1.10137 -0.598939 -0.660369 -0.0214871 -0.835633 -0.745764 -0.77068 -0.258422 -1.11343 0.207713
69	-1.11567 -0.595091 -0.660369 -0.0146076 -0.838159 -0.733676 -0.772951 -0.253711 -1.1205 0.207713
70	-1.13711 -0.618179 -0.662253 -0.0146076 -0.835633 -0.721587 -0.772951 -0.253711 -1.11696 0.214796
71	-1.15498 -0.614331 -0.664137 -0.00772804 -0.835633 -0.717558 -0.77068 -0.249 -1.11343 0.228963
72	-1.16213 -0.579698 -0.664137 -0.00084852 -0.838159 -0.721587 -0.77068 -0.244289 -1.10989 0.236047
73	-1.1657 -0.564306 -0.66602 0.006031 -0.833106 -0.723602 -0.768409 -0.244289 -1.10989 0.243131
74	-1.1657 -0.560458 -0.667904 0.006031 -0.833106 -0.715543 -0.768409 -0.239578 -1.10635 0.257298
75	-1.14426 -0.552762 -0.667904 0.0129105 -0.835633 -0.713528 -0.766139 -0.234867 -1.10635 0.271465
76	-1.10852 -0.545066 -0.669787 0.01979 -0.835633 -0.715543 -0.766139 -0.234867 -1.10989 0.285632
77	-1.0835 -0.53737 -0.669787 0.01979 -0.833106 -0.711514 -0.763868 -0.230156 -1.10989 0.306883
78	-1.07635 -0.533522 -0.671671 0.0129105 -0.833106 -0.707484 -0.763868 -0.225445 -1.10635 0.313966
79	-1.07635 -0.529674 -0.673555 0.0129105 -0.835633 -0.699425 -0.761597 -0.220734 -1.10989 0.328134
80	-1.06563 -0.521978 -0.673555 0.006031 -0.835633 -0.695396 -0.761597 -0.216023 -1.10989 0.342301
81	-1.04419 -0.514282 -0.675438 0.0129105 -0.833106 -0.70144 -0.759326 -0.216023 -1.11343 0.349384
82	-1.02632 -0.514282 -0.675438 0.0129105 -0.83058 -0.707484 -0.757056 -0.211312 -1.11343 0.349384
83	-1.02274 -0.510434 -0.677322 0.01979 -0.833106 -0.69741 -0.757056 -0.206601 -1.11696 0.335217
84	-1.02274 -0.506586 -0.677322 0.01979 -0.833106 -0.685322 -0.754785 -0.206601 -1.11696 0.342301
85	-1.01202 -0.506586 -0.679205 0.0129105 -0.835633 -0.685322 -0.752514 -0.20189 -1.10989 0.349384
86	-0.987005 -0.502738 -0.679205 0.0129105 -0.835633 -0.687337 -0.752514 -0.197178 -1.10989 0.349384
87	-0.961988 -0.502738 -0.681089 0.01979 -0.833106 -0.689352 -0.750244 -0.187756 -1.10635 0.356468
88	-0.95484 -0.506586 -0.682973 0.01979 -0.833106 -0.691366 -0.750244 -0.183045 -1.10635 0.356468
89	-0.976284 -0.506586 -0.682973 0.0129105 -0.835633 -0.683307 -0.747973 -0.183045 -1.10282 0.363552
90	-1.00845 -0.510434 -0.684856 0.0129105 -0.840685 -0.675248 -0.747973 -0.178334 -1.10282 0.356468
91	-1.0156 -0.510434 -0.684856 0.006031 -0.838159 -0.671219 -0.745702 -0.178334 -1.09928 0.363552
92	-1.0156 -0.514282 -0.682973 -0.00084852 -0.835633 -0.66316 -0.747973 -0.173623 -1.09574 0.363552
93	-1.01202 -0.51813 -0.682973 -0.00084852 -0.833106 -0.66316 -0.747973 -0.173623 -1.09574 0.356468
94	-1.0156 -0.583547 -0.609512 0.006031 -0.83058 -0.47982 -0.523175 -0.168912 -1.08514 0.271465
95	-1.02274 -0.583547 -0.605744 0.006031 -0.828054 -0.477805 -0.520904 -0.164201 -1.0816 0.271465
96	-1.02632 -0.587395 -0.601977 -0.00084852 -0.83058 -0.47579 -0.518634 -0.164201 -1.0816 0.278549
97	-1.02989 -0.591243 -0.59821 -0.00084852 -0.83058 -0.473775 -0.518634 -0.168912 -1.07806 0.271465
98	-1.02989 -0.591243 -0.594443 -0.00772804 -0.828054 -0.469746 -0.516363 -0.164201 -1.07806 0.278549
99	-1.02632 -0.595091 -0.590675 -0.00772804 -0.828054 -0.465716 -0.516363 -0.164201 -1.07453 0.278549
100	-1.02632 -0.598939 -0.586908 -0.00084852 -0.83058 -0.461687 -0.514092 -0.15949 -1.07453 0.285632
101	-1.02274 -0.598939 -0.583141 -0.00772804 -0.83058 -0.457658 -0.514092 -0.15949 -1.07099 0.285632
102	-1.02274 -0.602787 -0.579374 -0.0146076 -0.828054 -0.453628 -0.511822 -0.164201 -1.07099 0.292716
103	-1.02632 -0.602787 -0.57749 -0.0146076 -0.83058 -0.449599 -0.511822 -0.164201 -1.06745 0.292716
104	-1.02274 -0.606635 -0.573723 -0.00772804 -0.828054 -0.445569 -0.509551 -0.15949 -1.06745 0.306883
105	-1.01202 -0.602787 -0.571839 -0.00772804 -0.828054 -0.433481 -0.50728 -0.164201 -1.06392 0.32105
106	-0.997727 -0.606635 -0.568072 -0.00084852 -0.83058 -0.427437 -0.50501 -0.168912 -1.06392 0.335217
107	-0.990579 -0.606635 -0.566188 0.006031 -0.825528 -0.421392 -0.495927 -0.164201 -1.06038 0.349384
108	-0.990579 -0.602787 -0.562421 0.0129105 -0.825528 -0.39923 -0.486844 -0.164201 -1.06038 0.384802
