(pearson)
=====================================================
 #  	||  ref		trmf
=====================================================
10 	|| 	100		94
20 	|| 	100		93
30 	|| 	100		96
40 	|| 	100		96
50 	|| 	100		94
60 	|| 	100		95
70 	|| 	100		95
80 	|| 	100		94
90 	|| 	100		94
100 	|| 	100		95
=====================================================


(spearman)
=====================================================
 #  	||  ref		trmf
=====================================================
10 	|| 	100		93
20 	|| 	100		95
30 	|| 	100		96
40 	|| 	100		96
50 	|| 	100		95
60 	|| 	100		96
70 	|| 	100		95
80 	|| 	100		95
90 	|| 	100		95
100 	|| 	100		96
=====================================================
=====================================================

