(pearson)
=====================================================
 #  	||  ref		softimp
=====================================================
2 	|| 	100		75
4 	|| 	100		67
6 	|| 	100		62
8 	|| 	100		67
10 	|| 	100		68
12 	|| 	100		71
14 	|| 	100		73
16 	|| 	100		75
18 	|| 	100		75
20 	|| 	100		76
=====================================================


(spearman)
=====================================================
 #  	||  ref		softimp
=====================================================
2 	|| 	100		66
4 	|| 	100		58
6 	|| 	100		52
8 	|| 	100		59
10 	|| 	100		62
12 	|| 	100		68
14 	|| 	100		72
16 	|| 	100		74
18 	|| 	100		75
20 	|| 	100		76
=====================================================
=====================================================

