(pearson)
=====================================================
 #  	||  ref		trmf
=====================================================
5000 	|| 	100		97
10000 	|| 	100		96
15000 	|| 	100		96
20000 	|| 	100		96
25000 	|| 	100		97
30000 	|| 	100		96
35000 	|| 	100		95
40000 	|| 	100		95
=====================================================


(spearman)
=====================================================
 #  	||  ref		trmf
=====================================================
5000 	|| 	100		96
10000 	|| 	100		96
15000 	|| 	100		96
20000 	|| 	100		96
25000 	|| 	100		95
30000 	|| 	100		96
35000 	|| 	100		96
40000 	|| 	100		95
=====================================================
=====================================================

